month,elevation,chl-a
2,395.557,0.368481
2,423.941,0.425899
2,429.093,0.432013
2,402.83,0.472049
2,435.356,0.486913
2,414.598,0.509748
2,430.407,0.670914
6,395.46,1.17533
6,399.653,1.25151
6,401.724,1.32517
6,404.35,1.35202
6,409.048,1.5
6,416.474,1.93603
6,411.575,1.97768
6,414.859,2.12398
6,420.519,2.89019
6,422.594,3.72335
6,430.278,5.08532
6,423.871,6.43056
6,429.844,9.07214
6,429.711,12.7508
6,429.678,16.3109
6,429.195,20.6537
6,428.196,22.9072
6,425.066,23.0459
6,426.331,23.5458
9,393.289,1.33889
9,395.06,1.95808
9,401.88,2.22725
9,405.365,2.25512
9,430.264,2.26093
9,424.254,2.325
9,428.244,2.37721
9,432.184,2.40562
9,414.608,2.45596
9,419.507,2.46178
9,410.012,2.49798
9,397.235,2.60149
9,425.72,2.61155
9,415.822,2.78968
9,440.602,9.20358
9,436.012,10.5035
9,434.751,10.7394
9,438.086,11.0993
